1,1,51,Morning Fitness,FITNESS,2024-01-15,60
2,2,52,Evening Yoga,YOGA,2024-01-16,90
3,3,53,Stretching Session,STRETCHING,2024-01-17,45
4,4,54,Zumba Dance,ZUMBA,2024-01-18,60
5,5,55,Cardio Burn,CARDIO,2024-01-19,75
6,6,56,Yoga Basics,YOGA,2024-01-20,50
7,7,57,Advanced Fitness,FITNESS,2024-01-21,90
8,8,58,Morning Stretching,STRETCHING,2024-01-22,45
9,9,59,Evening Cardio,CARDIO,2024-01-23,60
10,10,60,Full Body Workout,FITNESS,2024-01-24,80
11,11,61,Early Morning Fitness,FITNESS,2024-01-25,60
12,12,62,Night Yoga,YOGA,2024-01-26,90
13,13,63,Afternoon Stretch,STRETCHING,2024-01-27,45
14,14,64,Crossfit Madness,CROSSFIT,2024-01-28,60
15,15,65,Zumba Fun,ZUMBA,2024-01-29,75
16,16,66,Cardio Extreme,CARDIO,2024-01-30,50
17,17,67,Strength Training,FITNESS,2024-02-01,90
18,18,68,Flexibility Boost,STRETCHING,2024-02-02,45
19,19,69,Cardio Circuit,CARDIO,2024-02-03,60
20,20,70,Weightlifting Basics,FITNESS,2024-02-04,80
21,21,71,Core Power,FITNESS,2024-02-05,60
22,22,72,Yoga Deep Dive,YOGA,2024-02-06,90
23,23,73,Stretching Routine,STRETCHING,2024-02-07,45
24,24,74,Full Body Cardio,CARDIO,2024-02-08,60
25,25,75,Crossfit Challenge,CROSSFIT,2024-02-09,75
26,26,76,Zumba Rhythm,ZUMBA,2024-02-10,50
27,27,77,High-Intensity Cardio,CARDIO,2024-02-11,90
28,28,78,Pilates Stretch,STRETCHING,2024-02-12,45
29,29,79,Circuit Training,FITNESS,2024-02-13,60
30,30,80,Advanced Yoga,YOGA,2024-02-14,80
31,31,81,Fitness Fundamentals,FITNESS,2024-02-15,60
32,32,82,Sunrise Yoga,YOGA,2024-02-16,90
33,33,83,Deep Stretch,STRETCHING,2024-02-17,45
34,34,84,Cardio Kickboxing,CARDIO,2024-02-18,60
35,35,85,Bodyweight Training,FITNESS,2024-02-19,75
36,36,86,Evening Stretch,STRETCHING,2024-02-20,50
37,37,87,Crossfit Basics,CROSSFIT,2024-02-21,90
38,38,88,Zumba Gold,ZUMBA,2024-02-22,45
39,39,89,Interval Cardio,CARDIO,2024-02-23,60
40,40,90,Total Body Workout,FITNESS,2024-02-24,80
41,41,91,Endurance Yoga,YOGA,2024-02-25,60
42,42,92,Fitness Bootcamp,FITNESS,2024-02-26,90
43,43,93,Dance Cardio,ZUMBA,2024-02-27,45
44,44,94,Powerlifting Basics,FITNESS,2024-02-28,60
45,45,95,Yoga Flow,YOGA,2024-03-01,75
46,46,96,Stretch and Relax,STRETCHING,2024-03-02,50
47,47,97,Agility Training,FITNESS,2024-03-03,90
48,48,98,Dynamic Stretching,STRETCHING,2024-03-04,45
49,49,99,Crossfit Elite,CROSSFIT,2024-03-05,60
50,50,100,High-Intensity Interval Training,FITNESS,2024-03-06,80
